,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,5000,95,2,4.67,4.89,0.4,4.67,4.89
1,10000,95,2,3.11,3.47,0.4,3.11,3.47
2,15000,95,2,2.96,3.02,0.4,2.96,3.02
3,20000,95,2,2.38,3.34,0.4,2.38,3.34
4,25000,95,2,2.09,2.13,0.4,2.09,2.13
5,30000,95,2,3.44,3.84,0.4,3.44,3.84
6,35000,95,2,2.47,3.11,0.4,2.47,3.11
7,40000,95,2,1.96,2.34,0.4,1.96,2.34
8,45000,95,2,1.64,1.8,0.4,1.64,1.8
9,50000,95,2,2.79,3.66,0.4,2.79,3.66
10,55000,95,2,1.76,2.16,0.4,1.76,2.16
11,60000,95,2,1.87,2.82,0.4,1.87,2.82
12,65000,95,2,1.45,2.31,0.4,1.45,2.31
13,70000,95,2,1.72,2.57,0.4,1.72,2.57
14,75000,95,2,1.85,2.89,0.4,1.85,2.89
15,80000,95,2,1.94,3.0,0.4,1.94,3.0
16,85000,95,2,1.66,2.67,0.4,1.66,2.67
17,90000,95,2,1.82,2.46,0.4,1.82,2.46
18,95000,95,2,1.48,2.49,0.4,1.48,2.49
19,100000,95,2,2.02,3.03,0.4,2.02,3.03
